Gene_A,Gene_B
BCL6,PATZ1
FOXJ2,PATZ1
KLF1,PATZ1
MITF,PATZ1
MSX2,PATZ1
NR2C2,PATZ1
FOXE1,PAX3
FOXO1,PAX3
MEOX1,PAX3
MEOX2,PAX3
NAIF1,PAX4
NFYC,PAX4
ETS1,PAX5
GRHL2,PAX5
HMBOX1,PAX5
HOXC8,PAX5
NFYC,PAX5
AR,PAX6
CGGBP1,PAX6
ESRRG,PAX6
GCM2,PAX6
GRHL2,PAX6
HMBOX1,PAX6
HOXA1,PAX6
HOXC8,PAX6
HOXC9,PAX6
NFYC,PAX6
GCM2,PAX8
HOXC8,PAX8
HOXC9,PAX8
KDM5B,PAX9
KLF4,PAX9
FOXA1,PBX1
FOXC1,PBX1
FOXE1,PBX1
FOXQ1,PBX1
HOXB1,PBX1
HOXB5,PBX1
HOXB7,PBX1
HOXC5,PBX1
HOXC8,PBX1
LMX1B,PBX1
MEIS1,PBX1
MEIS2,PBX1
CREB1,PBX2
FOXC1,PBX2
FOXE1,PBX2
FOXI2,PBX2
FOXS1,PBX2
HOXA1,PBX2
HOXA5,PBX2
HOXB5,PBX2
HOXC5,PBX2
HOXC8,PBX2
HOXC9,PBX2
LMX1B,PBX2
MEIS2,PBX2
MSC,PBX2
FOXE1,PBX3
LMX1B,PBX3
MEIS2,PBX3
MTERF3,PBX3
BCL6,PBX4
DR1,PBX4
GTF2B,PBX4
HOXB2,PBX4
HOXB5,PBX4
HOXC5,PBX4
HOXC8,PBX4
HOXD4,PBX4
MBD3,PBX4
MEIS2,PBX4
CBX2,PCGF2
E2F6,PCGF2
HOXC9,PCGF2
HSF2,PCGF2
KDM2B,PCGF2
MGA,PCGF2
ADNP,PCGF6
CBX2,PCGF6
CHAMP1,PCGF6
E2F1,PCGF6
E2F2,PCGF6
E2F3,PCGF6
E2F4,PCGF6
E2F5,PCGF6
E2F6,PCGF6
KDM2B,PCGF6
MAX,PCGF6
MGA,PCGF6
PCGF2,PCGF6
BATF3,PGR
ESR1,PGR
JDP2,PGR
NCOA1,PGR
NCOA2,PGR
NCOA3,PGR
AEBP2,PHF1
ARID5A,PHF1
BCL11A,PHF1
BHLHE40,PHF1
BPTF,PHF1
DPF1,PHF1
FOSB,PHF1
GATAD2A,PHF1
GATAD2B,PHF1
HOMEZ,PHF1
LBX1,PHF1
LCOR,PHF1
MBD2,PHF1
MBD3,PHF1
MEOX2,PHF1
MTF2,PHF1
MYBL2,PHF1
PATZ1,PHF1
CXXC1,PHF20
KMT2A,PHF20
KMT2B,PHF20
ARNTL,PHF21A
CLOCK,PHF21A
HMG20A,PHF21A
HMG20B,PHF21A
