Gene_A,Gene_B
ABLIM1,PPP1CB
ABLIM1,SCLT1
ABLIM1,SEPSECS
ABLIM1,SREBF2
ABLIM1,SSX2IP
ABLIM1,STIL
ABLIM1,SYNPO
ABLIM1,TRAF2
ABLIM1,TSC22D4
ABLIM1,TTN
ABLIM1,USHBP1
ABLIM1,VAV1
ABLIM1,VIRMA
ABLIM1,YWHAB
ABLIM1,YWHAH
ABLIM1,ZMYM1
ABLIM2,ABRA
ABLIM2,AHNAK2
ABLIM2,CHAT
ABLIM2,DMWD
ABLIM2,JPH3
ABLIM2,NF2
ABLIM2,PANK2
ABLIM2,SREBF2
ABLIM3,ZNF620
ABRAXAS1,BABAM2
ABRAXAS2,BABAM2
ABRAXAS2,BIRC6
ABT1,CA10
ABT1,CDCA7L
ABT1,DVL3
ABT1,FAM9B
ABT1,HTT
ABT1,KANK2
ABT1,KIF14
ABT1,MAB21L3
ABT1,NAP1L5
ABT1,PRNP
ABT1,PRPF4
ABT1,RNF151
ABT1,SYNE4
ABT1,TSPYL2
ACAA1,C6ORF226
ACAA1,EIF1AX
ACAA1,FEM1A
ACAA1,HTRA2
ACAA1,IMMP1L
ACAA1,IMMP2L
ACAA1,JUN
ACAA1,PEX5
ACAA1,PEX7
ACAA1,TFCP2
ACAA1,TRAPPC9
ACAA1,TXNDC11
ACAA2,ARMC6
ACAA2,CIAO2B
ACAA2,PREPL
ACAA2,UQCRFS1
ACACA,CHCHD10
ACACA,CTR9
ACACA,LIPH
ACACA,MCCC1
ACACA,MCCC2
ACACA,NMES1
ACACA,RPS6KA1
ACACB,ANKRD28
ACACB,VIRMA
ACAD10,P2RY8
ACAD11,DUSP19
ACAD11,GTSE1
ACAD11,KIF14
ACAD11,MED12
ACAD11,MED13L
ACAD11,MED16
ACAD11,MED17
ACAD11,MED9
ACAD11,MTMR4
ACAD11,PDYN
ACAD11,PHIP
ACAD11,PPP6R1
ACAD11,SDF4
ACAD8,LDHD
ACAD8,TRUB2
ACAD8,VSTM2A
ACADL,TMPRSS11A
ACADM,ETFA
ACADM,KIF14
ACADM,USP50
ACADS,IRF7
ACADSB,C9J8M4
ACADSB,RPGRIP1L
ACADSB,TCTN3
ACADVL,ANLN
ACADVL,APEX1
ACADVL,CFAP97D1
ACADVL,CHMP4C
